codigo,nombre_pdf,precio_abc,precio_catalogo,fuente
022000300,Set División Escuela,211814,,LACA Septiembre
022040100,Pincel para peeling,13820,,LACA Septiembre
022070000,Aplicador de sombras doble x4 u.,544,,LACA Septiembre
022170000,"Pincel para sombras, labios y corregidos",14102,,LACA Septiembre
022180100,Pincel para sombras clásico mediano,14914,,LACA Septiembre
022190100,Pincel pino corto,22424,,LACA Septiembre
022190200,"Pincel Satín Nº10 para sombras, labios y corregidos",16263,,LACA Septiembre
022190600,"Multifunción V4 Extra chico sombras, delineados, cejas",10855,,LACA Septiembre
022210000,Pincel sombra grande,18554,,LACA Septiembre
022210100,Pincel para sombras Redondo white,17075,,LACA Septiembre
022220000,"Pincel para labios, delineado y corregidos",19240,,LACA Septiembre
022220100,Pincel doble para cejas,14017,,LACA Septiembre
022300100,Peine cepillo - Para cejas y pestañas,13310,,LACA Septiembre
022320300,Brochero enrollable Rouge o Noire,38870,,LACA Septiembre
022330000,Pincel para bases y corregidos,17871,,LACA Septiembre
022330100,Pincel lengua de gato TF para corregidos y artístico,11287,,LACA Septiembre
022330200,Pincel artístico grande fibra óptica,20051,,LACA Septiembre
022330300,Pincel anatómico N°6,28018,,LACA Septiembre
17060004,F1,24800,35500,LACA Septiembre
17070004,F2,28100,40200,LACA Septiembre
17080004,M1,28900,41300,LACA Septiembre
17090004,F3,30800,44000,LACA Septiembre
17110004,M2,34900,49900,LACA Septiembre
18125804,Esmalte efecto gel | 58 Glam,8700,12500,LACA Septiembre
18125904,Esmalte efecto gel | 59 Latine,8700,12500,LACA Septiembre
18126004,Esmalte efecto gel | 60 Peach,8700,12500,LACA Septiembre
18126104,Esmalte efecto gel | 61 Off White,8700,12500,LACA Septiembre
18126204,Esmalte efecto gel | 62 Royal Blue,8700,12500,LACA Septiembre
18126404,Esmalte efecto gel | 64 Loving Rose,8700,12500,LACA Septiembre
18126504,Esmalte efecto gel | 65 Blanco Nacar,8700,12500,LACA Septiembre
18126604,Esmalte efecto gel | 66 Sun,8700,12500,LACA Septiembre
18126704,Esmalte efecto gel | 67 Sky,8700,12500,LACA Septiembre
18126804,Esmalte efecto gel | 68 Mango,8700,12500,LACA Septiembre
18126904,Esmalte efecto gel | 69 Sunset,8700,12500,LACA Septiembre
18127504,Esmalte efecto gel | 75 Violeta,8700,12500,LACA Septiembre
18127704,Esmalte efecto gel | 77 Venus,8700,12500,LACA Septiembre
18127804,Esmalte efecto gel | 78 Perla,8700,12500,LACA Septiembre
18127904,Esmalte efecto gel | 79 Moca,8700,12500,LACA Septiembre
18128004,Esmalte efecto gel | 80 Fucsia,8700,12500,LACA Septiembre
18128204,Esmalte efecto gel | 82 Lima,8700,12500,LACA Septiembre
18128604,Esmalte efecto gel | 86 Magic Night,8700,12500,LACA Septiembre
18135404,Base de porcelana niveladora,12800,18300,LACA Septiembre
18135704,Removedor de cutículas,9700,13900,LACA Septiembre
18135804,Acelerador de secado,12800,18300,LACA Septiembre
18136004,Aceite de tratamiento para cutículas,10700,15300,LACA Septiembre
18136204,Endurecedor Diamante,16400,23500,LACA Septiembre
18139804,Quitaesmalte,4300,6200,LACA Septiembre
18139904,Diluyente,3200,4600,LACA Septiembre
18992904,Iluminador Compacto Cocolight,15100,21600,LACA Septiembre
501040003,Gel de limpieza protector,23300,,LACA Septiembre
501040004,Gel de limpieza protector,17200,24600,LACA Septiembre
501500002,Leche de limpieza con regaliz y activos vegetales,36100,,LACA Septiembre
501500003,Leche de limpieza con regaliz y activos vegetales,28400,,LACA Septiembre
501500004,Leche de limpieza con regaliz y activos vegetales,17300,24800,LACA Septiembre
501510003,Dermopulido gel con extractos frutales,29600,,LACA Septiembre
501510004,Dermopulido gel con extractos frutales,18000,25800,LACA Septiembre
501520004,Sérum demaquillante de ojos y labios,24800,35500,LACA Septiembre
501530003,Crema de limpieza con fitoesteroles de soja y malva,29100,,LACA Septiembre
501530004,Crema de limpieza con fitoesteroles de soja y malva,19200,27500,LACA Septiembre
501540003,Scrub facial,,,LACA Septiembre
501590004,Sérum demaquillante protector,24800,35500,LACA Septiembre
502500002,Loción astringente con nicotinamida,35500,,LACA Septiembre
502500003,Loción astringente con nicotinamida,27300,,LACA Septiembre
502500004,Loción astringente con nicotinamida,19100,27400,LACA Septiembre
502510002,Loción refrescante con té verde y flavonoides,37200,,LACA Septiembre
502510003,Loción refrescante con té verde y flavonoides,29600,,LACA Septiembre
502510004,Loción refrescante con té verde y flavonoides,21900,31400,LACA Septiembre
503070004,Crema humectante con aceite de palta,28900,41300,LACA Septiembre
503150004,Emulsión células madre,46100,65900,LACA Septiembre
503160004,Bálsamo dinamizante celular,31300,44800,LACA Septiembre
503170004,Crema células madre con octapéptidos y argán,41700,59600,LACA Septiembre
503200004,Filler Diamond Antiage,38000,54300,LACA Septiembre
503230004,Diamond Eyes,29700,42500,LACA Septiembre
503240004,Diamond Lips,26500,37900,LACA Septiembre
503250004,Renova Defense,35200,50400,LACA Septiembre
503260004,Bio Therapy | Hylu-Serum,23600,33800,LACA Septiembre
503270004,Crema Nutritiva de Párpados,26300,37600,LACA Septiembre
503510003,Crema hidratante con Urea +,43500,,LACA Septiembre
503520004,Concentrado hidroenergizante ACI,31300,44800,LACA Septiembre
503530003,Crema reparadora con ceramidas y silanoles,55000,,LACA Septiembre
503530004,Crema reparadora con ceramidas y silanoles,38000,54400,LACA Septiembre
503540003,Emulsión humectante hidra plus,40600,,LACA Septiembre
503540004,Emulsión humectante hidra plus,17900,25600,LACA Septiembre
503560002,Loción humectante y tonificante,36200,,LACA Septiembre
503560003,Loción humectante y tonificante,29200,,LACA Septiembre
503560004,Loción humectante y tonificante,22100,31600,LACA Septiembre
503570003,Crema hidronutritiva con PCA,62800,,LACA Septiembre
503570004,Crema hidronutritiva con PCA,31000,44400,LACA Septiembre
503580004,Sérum facial con ramnosa,20700,29700,LACA Septiembre
503610004,! Body Splash | Flor de Tiare,11000,15800,LACA Septiembre
503620004,Body Splash | Azúcar de Coco,13600,19500,LACA Septiembre
503630004,Body Splash | Vainilla de Tahití,13600,19500,LACA Septiembre
505200004,Sérum Liposomado,24900,35700,LACA Septiembre
505210004,Crema liposomada con ácido hilurónico,28700,41000,LACA Septiembre
505500004,Concentrado hidronutriente con tamarindo y trébol rojo,32500,46500,LACA Septiembre
505510003,Crema nutritiva con mix antiage de soja,42100,,LACA Septiembre
505510004,Crema nutritiva con mix antiage de soja,31900,45600,LACA Septiembre
505520004,Crema nutritiva con vitaminas A y E,29500,42200,LACA Septiembre
506070004,Crema Control sebo,25200,36000,LACA Septiembre
506110004,Perfect Pore 70,22300,31900,LACA Septiembre
506120003,Emulsión Aqua Pore,45200,,LACA Septiembre
506120004,Emulsión Aqua Pore,21000,30000,LACA Septiembre
506130003,Loción Matificante,32900,,LACA Septiembre
506140004,Acné III,25100,35900,LACA Septiembre
506150003,Loción Perfect Pore con ácido salicílico,28200,,LACA Septiembre
506150004,Loción Perfect Pore con ácido salicílico 100,20800,29800,LACA Septiembre
506500004,Loción secante,19200,27500,LACA Septiembre
510500003,Máscara shock antiage con retinol y coenzima Q,,,LACA Septiembre
510520003,Máscara destello vital,,,LACA Septiembre
510520004,Máscara destello vital,,,LACA Septiembre
510550003,Máscara suavizante con elastina,35500,50800,LACA Septiembre
510590003,Brume Radiant,38000,,LACA Septiembre
510590004,Brume Radiant,14900,21300,LACA Septiembre
511190004,Óleo Corporal Dual,10700,15300,LACA Septiembre
511510002,Criogel reafirmante,,,LACA Septiembre
511510003,Criogel reafirmante,,,LACA Septiembre
511520002,Emulsión reafirmante corporal con coenzima Q,48500,,LACA Septiembre
511570003,Scrub corporal activo,34400,,LACA Septiembre
511580003,Shower gel,22200,31800,LACA Septiembre
511600003,Termogel,,,LACA Septiembre
511610003,Leche corporal con vitamina A,28000,40000,LACA Septiembre
511620003,Bruma integral con cafeína y árnica,25400,,LACA Septiembre
511620004,Bruma integral con cafeína y árnica,15300,21900,LACA Septiembre
511640003,Gel modelador intensivo,27500,39400,LACA Septiembre
511700002,Crema Corporal con Chocolate y Fosfatidilcolina,,,LACA Septiembre
511790003,Solución corporal con DMAE,16900,24200,LACA Septiembre
511800003,Crema Ultra Relajante,,,LACA Septiembre
511900003,Emulsión Hidratante Salvaje,17000,24300,LACA Septiembre
511940002,Crema Corporal Multitratamiento,31700,,LACA Septiembre
511940003,Emulsión Corporal Multitratamiento,27900,39900,LACA Septiembre
511950004,Aceite Esencial | Eucalipto,22600,32300,LACA Septiembre
511960004,Aceite Esencial | Tea Tree,23800,34000,LACA Septiembre
511970004,Aceite Esencial | Lavanda,22500,32200,LACA Septiembre
511980004,Aceite Esencial | Romero,21800,31200,LACA Septiembre
511990004,Aceite Esencial | Sumun 31 1100,24200,34600,LACA Septiembre
512000003,Vital Body Emulsion,32900,47000,LACA Septiembre
513080004,Crema humectante con aloe vera,12800,18400,LACA Septiembre
513100003,Máscara Radiant Filler,52700,,LACA Septiembre
513100004,Máscara Radiant Filler,39400,56400,LACA Septiembre
515540004,Shampoo sebonormalizante con Tea Tree Oil,18300,26200,LACA Septiembre
518080404,Corrector light touch | 04 Claro,21200,30400,LACA Septiembre
518080504,Corrector light touch | 05 Medio,21200,30400,LACA Septiembre
518081104,Stick concealer AH | 11 Claro,18700,26800,LACA Septiembre
518081204,Stick concealer AH | 12 Medio,18700,26800,LACA Septiembre
518105104,Base Matte magic | 51 Claro - Medio,25100,35900,LACA Septiembre
518105204,Base Matte magic | 52 Soleil,25100,35900,LACA Septiembre
518105304,Base Matte magic | 53 Bronceado,25100,35900,LACA Septiembre
518110804,Polvo compacto Mix Silky HD | Claro,27700,39600,LACA Septiembre
518110904,Polvo compacto Mix Silky HD | Medio,27700,39600,LACA Septiembre
518111004,Base Glow BB Cream,21600,30900,LACA Septiembre
518111404,Polvo matificante Matting Silk HD,23800,34000,LACA Septiembre
518115104,Base mousse complex | 51 Claro,26600,38000,LACA Septiembre
518115204,Base mousse complex | 52 Medio,26600,38000,LACA Septiembre
518115304,Base mousse complex | 53 Bronceado,26600,38000,LACA Septiembre
518116504,Base Radiant Skin | 01 Claro,18600,26700,LACA Septiembre
518116604,Base Radiant Skin | 02 Medio,18600,26700,LACA Septiembre
518116704,Base Radiant Skin | 03 Bronceado 30,18600,26700,LACA Septiembre
518116804,Base Smooth Skin | 01 Claro,25100,35900,LACA Septiembre
518116904,Base Smooth Skin | 02 Medio,25100,35900,LACA Septiembre
518117004,Base Smooth Skin | 03 Bronceado 30,25100,35900,LACA Septiembre
518117504,Base Photo Finish | 01 Claro,25900,37000,LACA Septiembre
518117604,Base Photo Finish | 02 Medio,25900,37000,LACA Septiembre
518117704,Base Photo Finish | 03 Bronceado,25900,37000,LACA Septiembre
518117804,Vital Color | Dream Primer BB Cream,25900,31900,LACA Septiembre
518145104,Base antiage DD cream | 51 Claro,20700,29700,LACA Septiembre
518145204,Base antiage DD cream | 52 Medio,20700,29700,LACA Septiembre
518145304,Base antiage DD cream | 53 Bronceado,20700,29700,LACA Septiembre
518171704,Lacatint Multinfunción Sensorial | Albaricoque,23400,33500,LACA Septiembre
518195204,Polvo Volátil Silky Loose Powder HD | 52 Incoloro,26500,37900,LACA Septiembre
518195304,Polvo Volátil Silky Loose Powder HD | 53 Natural,26500,37900,LACA Septiembre
518230104,Corrector trío,18300,26200,LACA Septiembre
518286504,Volume Push Up Style Lash - Arqueador de Pestañas,23500,33600,LACA Septiembre
518286604,Fortificador Activo Style Lash - Gel cejas y pestañas,19000,27200,LACA Septiembre
518286704,Care & Long Style Lash - Máscara de pestañas WP,19400,27800,LACA Septiembre
518286804,Volume Push Up Style Lash - Máscara WP | 63 Negro,19100,27400,LACA Septiembre
